Protein.ID,Gene.name,LFQ.Control_04dpi_1,LFQ.Control_04dpi_2,LFQ.Control_04dpi_3,LFQ.Control_04dpi_4,LFQ.Control_04dpi_5,LFQ.Control_07dpi_1,LFQ.Control_07dpi_2,LFQ.Control_07dpi_3,LFQ.Control_07dpi_4,LFQ.Control_07dpi_5,LFQ.Control_12dpi_1,LFQ.Control_12dpi_2,LFQ.Control_12dpi_3,LFQ.Control_12dpi_4,LFQ.Control_12dpi_5,LFQ.F13_Mut_04dpi_1,LFQ.F13_Mut_04dpi_2,LFQ.F13_Mut_04dpi_3,LFQ.F13_Mut_04dpi_4,LFQ.F13_Mut_04dpi_5,LFQ.F13_Mut_07dpi_2,LFQ.F13_Mut_07dpi_3,LFQ.F13_Mut_07dpi_4,LFQ.F13_Mut_07dpi_5,LFQ.F13_Mut_12dpi_1,LFQ.F13_Mut_12dpi_2,LFQ.F13_Mut_12dpi_3,LFQ.F13_Mut_12dpi_4,LFQ.F13_Mut_12dpi_5,LFQ.F13_WT_04dpi_1,LFQ.F13_WT_04dpi_2,LFQ.F13_WT_04dpi_3,LFQ.F13_WT_04dpi_4,LFQ.F13_WT_07dpi_1,LFQ.F13_WT_07dpi_2,LFQ.F13_WT_07dpi_3,LFQ.F13_WT_07dpi_4,LFQ.F13_WT_07dpi_5,LFQ.F13_WT_12dpi_1,LFQ.F13_WT_12dpi_2,LFQ.F13_WT_12dpi_3,LFQ.F13_WT_12dpi_4,LFQ.F13_WT_12dpi_5,LFQ.GHu_Mut_04dpi_1,LFQ.GHu_Mut_04dpi_2,LFQ.GHu_Mut_04dpi_3,LFQ.GHu_Mut_04dpi_4,LFQ.GHu_Mut_04dpi_5,LFQ.GHu_Mut_07dpi_1,LFQ.GHu_Mut_07dpi_2,LFQ.GHu_Mut_07dpi_3,LFQ.GHu_Mut_07dpi_4,LFQ.GHu_Mut_07dpi_5,LFQ.GHu_Mut_12dpi_1,LFQ.GHu_Mut_12dpi_2,LFQ.GHu_Mut_12dpi_3,LFQ.GHu_Mut_12dpi_4,LFQ.GHu_Mut_12dpi_5,LFQ.GHu_WT_04dpi_1,LFQ.GHu_WT_04dpi_2,LFQ.GHu_WT_04dpi_3,LFQ.GHu_WT_04dpi_4,LFQ.GHu_WT_04dpi_5,LFQ.GHu_WT_07dpi_1,LFQ.GHu_WT_07dpi_2,LFQ.GHu_WT_07dpi_3,LFQ.GHu_WT_07dpi_4,LFQ.GHu_WT_07dpi_5,LFQ.GHu_WT_12dpi_1,LFQ.GHu_WT_12dpi_2,LFQ.GHu_WT_12dpi_3,LFQ.GHu_WT_12dpi_4,LFQ.GHu_WT_12dpi_5
tpg|DAA47038.1| --*- TPA: hypothetical protein ZEAMMB73_411286 [Zea mays],Niben101Scf04103g02004.1,5,5,4,5,5,1,3,3,3,3,3,3,3,3,5,6,6,3,4,3,1,4,4,3,3,3,3,4,4,3,5,2,8,2,3,5,4,5,2,3,3,4,4,2,4,4,2,2,4,6,3,5,4,4,4,4,5,5,3,4,4,6,3,3,3,2,3,4,4,1,3,1,4
Cluster of sp|TRYP_PIG|,sp|TRYP_PIG| [2],16,27,13,14,22,12,22,15,18,26,15,31,27,26,35,15,10,13,19,11,26,29,23,14,23,24,24,39,32,16,10,11,15,26,14,30,21,25,34,43,38,29,52,10,16,8,18,10,25,34,24,25,26,16,16,27,67,30,16,10,11,27,13,25,22,15,18,36,45,21,27,20,47
    sp|TRYP_PIG|,sp|TRYP_PIG|,16,27,13,14,22,12,22,15,18,26,15,31,27,26,35,15,10,12,19,11,26,29,23,14,23,24,24,39,32,16,10,11,15,26,14,30,21,25,33,43,38,29,52,10,16,8,18,10,25,34,24,25,26,16,16,27,67,30,16,10,11,27,13,25,22,15,18,36,45,21,27,20,47
"    gi|3318722|pdb|1AN1|E Chain E, Leech-Derived Tryptase InhibitorTRYPSIN COMPLEX",gi|3318722|pdb|1AN1|E,16,26,13,14,22,12,22,15,18,26,15,29,21,20,33,15,10,13,19,11,26,29,23,14,19,17,17,36,30,16,10,11,15,26,14,30,21,25,34,43,38,29,51,10,16,8,18,10,25,34,24,25,26,16,16,27,67,30,16,10,11,27,13,25,22,15,18,35,44,21,27,20,47
"Cluster of sp|Q96300|14337_ARATH ***- 14-3-3-like protein GF14 nu IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding) (Niben101Scf05959g01005.1)",Niben101Scf05959g01005.1 [31],47,36,51,47,56,54,68,29,21,62,48,66,46,62,62,42,49,37,42,38,27,53,50,40,44,62,62,56,58,34,44,45,34,46,50,41,44,42,51,34,40,47,52,51,54,39,51,39,37,60,55,49,57,42,33,58,43,48,44,55,43,47,50,61,43,40,42,62,46,39,34,31,56
"    sp|Q96300|14337_ARATH ***- 14-3-3-like protein GF14 nu IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf05959g01005.1,23,21,25,17,25,21,28,11,10,28,20,26,18,24,21,18,25,11,18,16,18,28,25,19,16,29,29,23,19,20,19,15,17,21,25,22,20,19,19,17,16,22,22,21,19,18,25,19,14,21,16,15,25,16,18,26,21,19,22,23,20,21,19,23,18,15,17,23,17,15,13,12,20
"    sp|Q96300|14337_ARATH ***- 14-3-3-like protein GF14 nu IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf18551g00017.1,23,20,26,17,25,22,27,12,12,28,20,25,19,23,21,18,24,12,18,16,18,28,26,20,17,28,28,23,19,20,19,16,18,21,25,23,22,19,19,17,16,22,22,22,19,19,25,20,14,21,17,15,26,17,18,26,21,19,22,24,21,21,19,23,19,16,17,22,17,16,15,13,20
"    sp|Q96300|14337_ARATH ***- 14-3-3-like protein GF14 nu IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf02366g06014.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q96300|14337_ARATH ***- 14-3-3-like protein GF14 nu IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Scf02156g02008.1,4,4,5,5,4,3,4,2,0,2,4,6,4,5,5,3,3,4,3,3,1,5,3,4,4,7,7,2,5,3,6,3,1,4,5,1,4,3,5,2,4,4,6,4,6,4,6,1,2,6,5,4,4,6,3,7,3,2,3,7,7,5,5,5,3,5,2,4,5,2,1,2,6
"    sp|Q96299|14339_ARATH *-*- 14-3-3-like protein GF14 mu IPR000308 (14-3-3 protein), IPR023409 (14-3-3 protein, conserved site), IPR023410 (14-3-3 domain) GO:0019904 (protein domain specific binding)",Niben101Ctg14382g00002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
